Run Index,Alpha_a,Alpha_b,Eps_a,Eps_b,Q_Init,Lambda_a,Lambda_b,N_Tilings,S_Intervals,Superlative EETDR,Superlative 95HW,SP95LB,Mean Max EETDR,Mean Max 95ME,Mean Time-Avg EETDR,Mean Time-Avg 95ME,Wallclock,Algorithm Score
60.0,0.695,0.325,0.405,0.835,0.345,0.315,0.855,0.415,0.005,-49.12754296394405,8.107723897364371,-57.235266861308425,-106.50703699478997,17.179145485818708,-189.82771041779543,8.605095624851785,906.5432929499948,-153.5848319054241
61.0,0.155,0.045,0.635,0.665,0.815,0.335,0.365,0.445,0.795,-179.7465239810613,18.224833689152735,-197.97135767021405,-234.05223092230608,12.782222158138621,-320.17757223958176,5.916582937163199,289.5750517950073,-278.5383339189648
62.0,0.485,0.175,0.285,0.375,0.755,0.545,0.975,0.305,0.505,-77.56588099745389,23.058599574016704,-100.6244805714706,-106.50361626713729,22.826307968375687,-210.90096434031565,8.906519031642816,347.746848640003,-165.52094789009118
63.0,0.555,0.815,0.355,0.805,0.615,0.915,0.445,0.855,0.875,-173.7483079098451,16.006115436018902,-189.75442334586398,-227.36804284924148,15.869693323558145,-322.55442769575245,7.632266492279331,301.24765912399744,-278.01731937889247
64.0,0.605,0.685,0.825,0.215,0.395,0.305,0.545,0.195,0.045,-137.96798902591172,21.7954928830754,-159.76348190898713,-153.46883606663894,17.617662667373086,-245.5384961809395,17.757039598135883,228.80948771898693,-207.97011355203736
65.0,0.095,0.905,0.525,0.715,0.245,0.405,0.995,0.995,0.595,-245.62881533467854,21.59546120013449,-267.22427653481304,-250.9460106431057,9.63715358185213,-312.23407654998823,4.564797388866123,268.30791860500176,-283.0694481105164
66.0,0.625,0.555,0.735,0.185,0.255,0.955,0.405,0.895,0.725,-172.56957933047835,20.50786408313357,-193.07744341361192,-255.24601195537616,20.32512796163335,-395.2203812999841,5.560581867255664,467.6236270459922,-325.65506921710164
67.0,0.315,0.665,0.955,0.315,0.425,0.445,0.435,0.965,0.785,-228.0609944952338,22.3597996674259,-250.42079416265972,-261.42871773110255,18.207791400427038,-379.62071652181396,5.262586120805261,655.5918991940125,-321.73522653596547
68.0,0.725,0.525,0.765,0.425,0.925,0.135,0.025,0.355,0.265,29.928206405831844,29.49112029062321,0.4370861152086327,-21.21172711336534,21.582842482570648,-199.2816046951509,13.571549594402754,723.1887317369983,-110.81800347338304
69.0,0.165,0.285,0.655,0.415,0.995,0.025,0.665,0.015,0.995,-180.2226432656902,18.875655807133704,-199.09829907282392,-205.14727650800472,12.95492607373773,-289.16543136347235,6.694593789750297,258.2288693800074,-249.20533161033453
70.0,0.445,0.115,0.945,0.175,0.855,0.375,0.715,0.685,0.905,-181.1860223328153,18.908143902655137,-200.09416623547042,-234.7860454339167,15.769400046773306,-335.25729515890396,6.353705883834824,338.7819213789917,-286.97766770550953
71.0,0.825,0.125,0.175,0.595,0.505,0.455,0.775,0.455,0.735,-40.760085770161915,32.63588771310381,-73.39597348326572,-48.33118202989435,20.250096765299357,-225.50877989655083,8.262076007350341,735.3586521609977,-134.6571096386767
72.0,0.675,0.145,0.095,0.245,0.045,0.355,0.605,0.335,0.665,-2.6802771396476506,28.927122794353984,-31.607399934001634,-52.97739674089213,27.115576371675843,-236.43631796656737,6.286685189986094,1041.5572545210016,-145.14498513016218
73.0,0.345,0.215,0.215,0.295,0.175,0.935,0.225,0.395,0.825,-196.75630497531787,18.84628959147219,-215.60259456679006,-210.4810389073366,14.37765933056004,-303.57578199309444,4.961822838245635,495.2559638149978,-258.330260875274
